KC_NOEUDCOMPETENCE|DC_LBLNOEUDCOMPETENCE
00241|Politiques publiques et territoriales
00149|Habilitations à la conduite d'engins de chantier et de manutention
00045|Conduite d'engins de chantier et de manutention
00248|Préparation - réglages d'engins de chantier et de manutention
00039|Conception de modèles, de gammes ou de styles de produits de la mode
00271|Réalisation de vêtements, de patronnages ou de styles de produits de la mode
00174|Mannequinat
00129|Gestion de production
00273|Réalisation d'opérations automatisées
00155|Ingénierie de production
00357|Utilisation de machines et d'équipements industriels
00259|Programmation et réglages de machines et d'équipements industriels
00012|Aide à la vie quotidienne
00217|Organisation - coordination des services à la personne
00073|Design
00075|Dessin technique
00170|Management d'équipe
00133|Gestion d'entreprise
